DWD,name,wd_description,overlay_parents,,
DWD_Q34394,belief,psychological state in which an individual holds a proposition or premise to be true,mental_state,,
DWD_Q190084,hoax,deliberately fabricated falsehood made to masquerade as the truth,deception,,
DWD_Q34302,doubt,"status between belief and disbelief, involves uncertainty or distrust in an alleged fact, action, motive, or decision",mental_state,,
DWD_Q16189212,claim_responsibility,accept responsibility for something that has happened,NA,,
DWD_Q11398090,creation,process during which something comes into being and gains its characteristics,activity,,
DWD_Q28777323,breakdown,damage or breakage event that compromises the functioning of a system or a machine,failure,,
DWD_Q481609,damage,changes introduced into a system that adversely affect its current or future performance,process,,
DWD_Q17781833,destruction,"concept of damage to an object, system or an idea",occurrence,,
DWD_Q649416,bomb_disposal,activity to dispose of and render safe explosive munitions and other materials,NA,,
DWD_Q52161698,disassembly,"separation of assembled components of a physical system, either intentionally or not",process,,
DWD_Q3625549,assembly,the act of combining components in manufacturing,connection,,
DWD_Q187939,manufacturing,industrial activity producing goods for sale using labor and machines,commodity_production,,
DWD_Q60528603,contamination,"presence of an unwanted constituent, harmful substance or impurity in a material, physical body, or environment",process,,
DWD_Q815758,scarcity,fundamental problem of economics where there are limited resources to fulfill society's unlimited wants,economic_problemdeficiency,,
DWD_Q3265221,identification,mapping of a known quantity to an unknown entity so as to make it known,connection,,
DWD_Q193181,observation,active acquisition of information from a primary source,perception,,
DWD_Q7685924,targeting,"process of selecting objects or installations to be attacked, taken, or destroyed in warfare",process,,
DWD_Q791801,estimation_process,"process of finding an estimate, or approximation, which is a value that is usable for some purpose even if input data may be incomplete, uncertain, or unstable",techniquefinding,,
DWD_Q8434,education,learning in which knowledge and skills are transferred through teaching,service,,
DWD_Q2380335,airstrike,attack on a specific objective by military aircraft during an offensive mission,military_offensive,,
DWD_Q8242560,biological_warfare,use of biological toxins or infectious agents with the intent to kill as an act of war,warfare,,
DWD_Q483610,chemical_warfare,type of warfare that involves using the toxic properties of chemical substances as weapons,warfare,,
DWD_Q891854,bomb_attack,action whereby a bomb is used to kill one or more people or to damage or destroy objects,attack,,
DWD_Q2252077,shooting,act or process of firing firearms or other projectile weapons,attack,,
DWD_Q175111,hanging,death by suspension of a person by a noose or ligature around the neck,human_behavior,,
DWD_Q467011,invasion,type of military offensive where armed forces of one polity forcibly enter another,military_interventionmilitary_offensive,,
DWD_Q178561,battle,"part of a war which is well defined in duration, area and force commitment",military_operationhistorical_event,,
DWD_Q327541,arson,crime of willfully and maliciously setting fire to property,property_damage,,
DWD_Q464643,stabbing,penetration with a sharp or pointed object at close range,assault,,
DWD_Q2727213,theft,act of taking another's property without permission or consent,property_crime,,
DWD_Q53706,robbery,taking or attempting to take something of value by force or threat of force or by putting the victim in fear,violent_crime,,
DWD_Q1933595,hijacking,illegal seizure of any vehicle while in transit,terrorismrobbery,,
DWD_Q1145328,strangling,compression of the neck that may lead to unconsciousness or death,compressive_asphyxia,,
DWD_Q1174599,attack,action to injure another organism,action,,
DWD_Q45382,coup_d'état,sudden deposition of a government, illegal and overt seizure of a state by the military or other elites within the state apparatus,regime_change,
DWD_Q11499267,defeat,loss in a battle or other contest, opposite of victory,failure,
DWD_Q124757,riot,form of civil disorder,protest,,
DWD_Q175331,demonstration,collective action by people in favor of a cause,eventprotest,,
DWD_Q1760704,withdrawal,military operation,military_operation,,
DWD_Q3769366,surrender,cessation of fighting by the losing party,occurrence,,
DWD_Q1145523,collaboration,working together,activity,,
DWD_Q1425577,promise,commitment by someone to do or not do something,activity,,
DWD_Q567303,announcement,"printed, spoken, or published statement or notice of an event or other news",communication,,
DWD_Q1472062,remote_communication,"communication between two parties in remote locations, either concurrent or non-concurrent; correspondence and telecommunication",communication,,
DWD_Q21170798,meeting,situation in which two or more persons meet,interaction,,
DWD_Q11024,communication,act of conveying intended meanings from one entity or group to another through the use of mutually understood signs and rules,information_exchange,,
DWD_Q3030248,discussion,conversation between two or more people in which they express their point of view on a choosen theme,oral_communication,,
DWD_Q52943,conversation,interactive communication between two or more people,interpersonal_communication,,
DWD_Q201676,funeral,ceremony for a person who has died,rite,,
DWD_Q26398,public_broadcasting,electronic media outlets whose primary mission is public service,broadcasting,,
DWD_Q202875,negotiation,dialogue between two or more people or parties intended to reach a beneficial outcome,activity,,
DWD_Q170028,deception,"act of intentionally propagating beliefs of things that are not true, or not the whole truth",communication,,
DWD_Q52947181,public_statement,statement made for a public audience,announcement,,
DWD_Q22445448,request,act of asking politely or formally for something,occurrence,,
DWD_Q1665268,command,message conveying a requirement to perform a certain action,message,,
DWD_Q707125,threat,"one person's statement that they intend to harm another, or another's property",persuasion,,
